GEO_CODE,GEO_LABEL,socialrented,Noqualifications ,Car_or_van,Deprivation_classification_of_household,%obese,,
E05004289,Battledown,262,494,277,621,23.49322058,,
E05008140,Battlefield,341,710,242,522,20.98530758,,
E05004431,Baughurst and Tadley North,779,796,240,726,18.14946619,,
E05005208,Baxenden,74,611,227,533,12.17183771,,
E05002335,Baylis and Stoke,1876,2073,863,1214,23.23177344,,
E05008141,"Bayston Hill, Column and Sutton",964,2048,786,1696,15.2635198,,
E05000631,Bayswater,2061,679,3551,2013,19.27710843,,
E05007581,Beach,274,974,415,801,27.3830156,,
E05006466,Beacon,464,1154,664,1019,14.68542674,,
E05007824,Beacon,181,443,102,306,18.82618474,,
E05001135,Beacon and Bents,2383,2278,1994,1417,21.20537964,,
E05005081,Beacon Road,919,972,456,610,21.92116431,,
E05004310,Beacon-Stow,498,592,223,562,21.67495423,,
