Zone Code,Zone Name,people,households,rent,%rent
34UEFZ,All Saints,3492,56,1369,39.20389462
41UDGE,All Saints,3611,37,1425,39.4627527
42UCFR,All Saints,3261,29,1632,50.04599816
15UEGE,Allan,2271,41,934,41.12725672
35UFGL,Allendale,2402,40,1024,42.63114072
00BYFC,Allerton,15624,137,6241,39.94495648
00FKMY,Allestree,13018,201,5718,43.92379782
29UHGF,Allington,6765,80,2827,41.78861789
18UGGM,Allington and Loddiswell,2031,42,842,41.45741014
00CZFA,Almondbury,12841,91,5583,43.47792228
00HDNR,Almondsbury,3703,68,1428,38.56332703
35UBFT,Alnmouth and Lesbury,1699,48,771,45.37963508
35UBFU,Alnwick Castle,3387,56,1454,42.92884559
35UBFW,Alnwick Clayport,2215,9,934,42.16704289
35UBFX,Alnwick Hotspur,2165,40,1080,49.88452656
00AEGJ,Alperton,12323,110,4199,34.07449485
18UCFU,Alphington,8520,57,3727,43.74413146
17UBGD,Alport,2472,56,1032,41.74757282
22UNGK,Alresford,2125,30,852,40.09411765
41UDGF,Alrewas and Fradley,4686,68,1863,39.75672215
13UCFU,Alsager Central,3677,99,1361,37.01387
13UCFW,Alsager East,5180,71,2238,43.2046332
13UCFX,Alsager West,3721,75,1473,39.58613276
30ULGC,Alston and Hothersall,2565,34,988,38.51851852
16UFGF,Alston Moor,2156,24,936,43.41372913
15UEGF,Altarnun,2042,30,863,42.26248776
30UGFT,Altham,4686,24,1811,38.64703372
22UKFX,Althorne,4002,21,1538,38.43078461
41UHGF,Alton,1396,28,564,40.40114613
42UBGH,Alton,3854,62,1581,41.02231448
24UCGJ,Alton Amery,2434,37,944,38.78389482
24UCGK,Alton Ashdell,2200,37,948,43.09090909
24UCGL,Alton Eastbrooke,2686,19,1097,40.84139985
22UNGL,Alton Park,5178,20,2281,44.05175744
24UCGM,Alton Westbrooke,2554,15,1306,51.13547377
24UCGN,Alton Whitedown,2254,54,905,40.15084295
24UCGP,Alton Wooteys,2381,28,975,40.94918102
00BUFA,Altrincham,10778,147,4953,45.95472258
00FKMZ,Alvaston,13686,51,6148,44.92181792
47UBFY,Alvechurch,6261,72,2564,40.95192461
39UBFY,Alveley,2920,53,1167,39.96575342
24UFFL,Alverstoke,4175,89,1815,43.47305389
38UFGL,Alvescot and Filkins,1684,47,711,42.22090261
00HDNS,Alveston,2922,65,1233,42.19712526
23UDGF,"Alvington, Aylburton and West Lydney",3022,42,1307,43.24950364
23UFGJ,Amberley and Woodchester,2108,62,880,41.74573055
31UEFU,Ambien,3488,44,1341,38.44610092
35UBFY,Amble Central,2223,19,950,42.73504274
35UBFZ,Amble East,2304,15,992,43.05555556
35UBGA,Amble West,2077,17,867,41.74289841
00CRFA,Amblecote,19170,140,7433,38.77412624
18UHGL,Ambrook,5884,103,2147,36.48878314
38UBGK,Ambrosden and Chesterton,3330,64,1100,33.03303303
11UCGH,Amersham Common,2416,70,959,39.69370861
11UCGK,Amersham Town,4392,86,1868,42.53187614
11UCGJ,Amersham-on-the-Hill,4506,83,1930,42.83177985
46UDGQ,Amesbury East,6812,65,2762,40.54609513
46UDGR,Amesbury West,2095,37,861,41.09785203
19UDGB,Ameysford,2558,16,1132,44.25332291
41UKFL,Amington,8206,50,3087,37.6188155
36UFGF,Amotherby,1809,32,732,40.46434494
24UNGC,Ampfield and Braishfield,2117,50,870,41.09589041
36UFGG,Ampleforth,2048,43,628,30.6640625
23UCGL,Ampney-Coln,1811,75,791,43.67752623
24UNGD,Amport,2155,59,891,41.34570766
09UCGH,Ampthill,6897,86,2843,41.22082065
00EYMZ,Anchorsholme,6551,44,3174,48.45061823
00BYFD,Anfield,14002,25,6003,42.87244679
24UFFM,Anglesey,4204,101,1466,34.8715509
41UCGD,Anglesey,5835,47,2266,38.83461868
45UCGG,Angmering,5812,69,2562,44.08121129
24UNGE,Anna,3645,133,1473,40.41152263
20UDGA,Annfield Plain,4541,8,1970,43.38251486
30UFFZ,Ansdell,4036,88,1849,45.81268583
31UCGG,Anstey,5821,46,2428,41.71104621
00CFFA,Anston and Woodsetts,11361,121,4565,40.18132207
39UFGF,Apedale,1118,17,426,38.10375671
00GFNM,Apley Castle,2891,57,1094,37.84157731
31UHFZ,Appleby,2091,33,864,41.31994261
16UFGG,Appleby (Appleby),1317,13,652,49.50645406
16UFGH,Appleby (Bongate),1545,20,647,41.87702265
18UKGE,Appledore,2946,29,1369,46.46978955
00ETMY,Appleton,6390,37,2849,44.58528951
00EUNB,Appleton,10477,193,4011,38.28385988
22UEFQ,Appleton,6681,45,2662,39.84433468
38UEGR,Appleton and Cumnor,6400,178,2605,40.703125
36UHGN,Appleton Roebuck,1762,46,669,37.96821793
26UCGJ,Apsley,2916,23,1248,42.79835391
00FKNA,Arboretum,13789,105,5715,41.44608021
00FYNE,Arboretum,10284,40,4383,42.61960327
47UEFN,Arboretum,5611,45,2637,46.99697024
00MFNB,Arborfield,2042,53,717,35.11263467
12UBFR,Arbury,8806,99,3909,44.39018851
26UFGC,Arbury,2462,71,1034,41.9983753
44UCFS,Arbury,5482,24,2120,38.67201751
45UGGH,Ardingly and Balcombe,5290,113,2046,38.67674858
22UNGM,Ardleigh and Little Bromley,2370,51,906,38.2278481
00CCFA,Ardsley,8705,53,3567,40.97645032
00BNFA,Ardwick,9809,39,4238,43.2052197
47UGFW,Areley Kings,6041,58,2535,41.96325112
16UEGD,Arlecdon,1539,24,626,40.67576348
09UCGJ,Arlesey,4741,30,2006,42.31174858
00GFNN,Arleston,3180,17,1287,40.47169811
44UBFW,Arley and Whitacre,5444,32,2266,41.62380602
41UDGG,Armitage with Handsacre,5181,26,2133,41.16965837
00DAFB,Armley,22034,72,9295,42.1848053
00CEFB,Armthorpe,17382,119,7204,41.44517317
16UGHB,Arnside & Beetham,4025,88,1865,46.33540373
00BYFE,Arundel,13543,65,5526,40.80336705
45UCGH,Arundel,4233,71,2000,47.24781479
15UCFX,Arwenack,6154,82,2797,45.45011375
00MAMW,Ascot,5460,97,2038,37.32600733
00MEMZ,Ascot and Cheapside,5065,141,1742,34.3928924
38UFGM,Ascott and Shipton,1968,51,837,42.5304878
31UGFT,Asfordby,3107,23,1320,42.48471194
29UKGK,Ash,6594,120,2472,37.48862602
43UDFY,Ash South and Tongham,8005,65,3338,41.69893816
43UDFZ,Ash Vale,5807,55,2453,42.24212158
43UDGA,Ash Wharf,6073,51,2509,41.31401284
17UFGC,Ashbourne North,3609,48,1559,43.19756165
17UFGD,Ashbourne South,4035,40,1625,40.27261462
00AHGF,Ashburton,13560,157,5228,38.55457227
18UHGM,Ashburton and Buckfastleigh,7664,110,3233,42.184238
00FDMR,Ashby,9304,59,4033,43.34694755
31UHGA,Ashby Castle,2632,43,1033,39.24772036
32UEGH,Ashby de la Launde,2556,37,937,36.65884194
