,Time (mins),Distance (m),Size (Moment Magnitude),Time (mins)_standard,Distance (m)_standard,Size (Moment Magnitude)_standard
367,34461,45259,2.4,0.654746960878552,0.7601994531302205,0.6888952776949573
368,34470,52529,2.0,0.656351878822588,1.2639073704633637,-0.49783216019472265
369,34484,19719,1.6,0.658848417846644,-1.0093604105133112,-1.6845595980844026
370,34498,51752,2.4,0.6613449568707002,1.2100722876892438,0.6888952776949573
371,34508,22934,2.5,0.6631281990307402,-0.7866064965895072,0.9855771371673776
372,34523,15634,1.9,0.6658030622708002,-1.2923929885471337,-0.794514019667143
373,34535,49825,1.9,0.6679429528628482,1.0765585109765936,-0.794514019667143
374,34556,35862,2.4,0.6716877613989323,0.10912059492120454,0.6888952776949573
375,34578,39472,1.7,0.6756108941510203,0.3592424080673733,-1.387877738611983
376,34605,39426,2.2,0.6804256479831284,0.3560552603098321,0.09553155875011796
377,34615,54404,2.2,0.6822088901431684,1.393818284493576,0.09553155875011796
378,34625,39797,2.0,0.6839921323032084,0.38176029983261006,-0.49783216019472265
379,34670,26997,1.7,0.6920167220233886,-0.5050982066136392,-1.387877738611983
380,34694,18725,2.0,0.6962965032074846,-1.0782305164045278,-0.49783216019472265
381,34696,40943,2.2,0.6966531516394926,0.46116185048787584,0.09553155875011796
382,34703,25616,2.1,0.6979014211515207,-0.6007819251606915,-0.20115030072230236
383,34715,21902,2.1,0.7000413117435687,-0.8581094636717361,-0.20115030072230236
384,34715,40212,2.6,0.7000413117435687,0.41051391547129706,1.282258996639798
385,34727,58966,1.9,0.7021812023356166,1.7099001990566844,-0.794514019667143
386,34728,39753,2.5,0.7023595265516207,0.3787117237167011,0.9855771371673776
387,34729,38512,2.0,0.7025378507676246,0.2927280200839046,-0.49783216019472265
388,34730,22553,2.0,0.7027161749836287,-0.8130043943204464,-0.49783216019472265
389,34762,21697,2.2,0.7084225498957568,-0.8723130569390393,0.09553155875011796
390,34771,51596,2.4,0.7100274678397928,1.1992636996419301,0.6888952776949573
391,34791,36568,2.3,0.7135939521598729,0.1580363844173805,0.39221341822253697
392,34825,23466,2.5,0.719656975504009,-0.749746439915335,0.9855771371673776
393,34831,34784,2.1,0.720726920800033,0.034430480081434484,-0.20115030072230236
394,34859,24926,2.2,0.725719998848145,-0.6485891415238096,0.09553155875011796
395,34860,23468,2.1,0.725898323064149,-0.7496078682737027,-0.20115030072230236
396,34865,21128,2.0,0.726789944144169,-0.9117366889834078,-0.49783216019472265
397,34876,24088,1.9,0.728751510520213,-0.7066506593677125,-0.794514019667143
398,34885,7397,1.5,0.7303564284642491,-1.8631002946094584,-1.981241457556823
399,34930,21164,1.6,0.7383810181844291,-0.9092423994340276,-1.6845595980844026
400,34949,32340,1.8,0.7417691782885052,-0.13490406599314625,-1.0911958791395626
401,34950,53337,1.9,0.7419475025045092,1.319890313682783,-0.794514019667143
402,34974,3682,2.1,0.7462272836886052,-2.120497118941319,-0.20115030072230236
403,34975,52097,1.9,0.7464056079046093,1.2339758958708027,-0.794514019667143
404,34978,39102,2.1,0.7469405805526214,0.33360665436541137,-0.20115030072230236
405,34986,50923,2.5,0.7483671742806534,1.152634342232686,0.9855771371673776
406,34990,26582,1.7,0.7490804711446694,-0.5338518222523262,-1.387877738611983
407,34999,23159,2.0,0.7506853890887054,-0.7710171869058817,-0.49783216019472265
408,35002,21703,1.8,0.7512203617367174,-0.8718973420141426,-1.0911958791395626
409,35002,34314,2.5,0.7512203617367174,0.0018661442978612703,0.9855771371673776
410,35040,21833,1.7,0.7579966819448695,-0.8628901853080478,-1.387877738611983
411,35044,64578,2.5,0.7587099788088855,2.098732225476712,0.9855771371673776
412,35046,48894,2.0,0.7590666272408935,1.012053411796792,-0.49783216019472265
413,35048,23316,1.9,0.7594232756729015,-0.760139313037752,-0.794514019667143
414,35087,39029,2.1,0.7663779200970576,0.32854878944583515,-0.20115030072230236
415,35098,61194,2.3,0.7683394864731016,1.8642690078349848,0.39221341822253697
416,35109,54789,2.3,0.7703010528491456,1.4204933255077796,0.39221341822253697
417,35109,25594,1.8,0.7703010528491456,-0.6023062132186461,-1.0911958791395626
418,35132,21380,2.4,0.7744025098172377,-0.8942766621377471,0.6888952776949573
419,35141,37156,2.5,0.7760074277612737,0.19877644705725506,0.9855771371673776
420,35164,35842,2.0,0.7801088847293658,0.10773487850488228,-0.49783216019472265
421,35189,23550,2.4,0.7845669901294658,-0.7439264309667815,0.6888952776949573
422,35214,25724,1.9,0.7890250955295659,-0.5932990565125513,-0.794514019667143
423,35225,24418,1.7,0.79098666190561,-0.6837863384983952,-1.387877738611983
424,35255,22861,1.6,0.79633638838573,-0.7916643615090835,-1.6845595980844026
425,35257,38858,2.4,0.796693036817738,0.31670091408627976,0.6888952776949573
426,35273,51998,2.7,0.7995462242738021,1.2271165996100075,1.5789408561122182
427,35279,37801,2.7,0.8006161695698261,0.24346580148364808,1.5789408561122182
428,35283,26080,2.1,0.8013294664338421,-0.568633304302015,-0.20115030072230236
429,35304,40998,2.2,0.8050742749699261,0.4649725706327621,0.09553155875011796
430,35306,25590,2.1,0.8054309234019341,-0.6025833565019105,-0.20115030072230236
431,35352,23521,1.8,0.8136338373381182,-0.7459357197704488,-1.0911958791395626
432,35383,52337,1.9,0.8191618880342423,1.25060449286667,-0.794514019667143
433,35392,35936,2.4,0.8207668059782783,0.11424774566159693,0.6888952776949573
